phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AUTOIMMUNE_NONTHYROID_STRICT	Autoimmune diseases excluding thyroid diseases, strict definition	Diseases marked as autimmune origin	56628	300667	gs://finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE_NONTHYROID_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE_NONTHYROID_STRICT.gz
K11_DIVERTIC	Diverticular disease of intestine	XI Diseases of the digestive system (K11_)	33619	329381	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_DIVERTIC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_DIVERTIC.gz
M13_ARTHROSIS_KNEE_PRIM_KNEESURG	Gonarthrosis, primary, with knee surgery	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	21059	368411	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_KNEE_PRIM_KNEESURG.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_KNEE_PRIM_KNEESURG.gz
FG_OTHHEART	Other heart diseases	Cardiometabolic endpoints	85166	210652	gs://finngen-public-data-r10/summary_stats/finngen_R10_FG_OTHHEART.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_FG_OTHHEART.gz
E4_NONTOXIC_THYROID	Nontoxic goitre/thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)	10312	401869	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_NONTOXIC_THYROID.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_NONTOXIC_THYROID.gz
I9_CVD_HARD	Hard cardiovascular diseases	Cardiometabolic endpoints	66182	345999	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_CVD_HARD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_CVD_HARD.gz
H7_GLAUCOMA_POAG	Primary open-angle glaucoma, strict	VII Diseases of the eye and adnexa (H7_)	8530	391275	gs://finngen-public-data-r10/summary_stats/finngen_R10_H7_GLAUCOMA_POAG.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_H7_GLAUCOMA_POAG.gz
M13_ARTHTROSIS_COX	Coxarthrosis,	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	24255	262844	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX.gz
J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	X Diseases of the respiratory system (J10_)	37760	219734	gs://finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMA_MAIN_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMA_MAIN_EXMORE.gz
N14_PROSTHYPERPLA	Hyperplasia of prostate	XIV Diseases of the genitourinary system (N14_)	32956	130139	gs://finngen-public-data-r10/summary_stats/finngen_R10_N14_PROSTHYPERPLA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_N14_PROSTHYPERPLA.gz
E4_OBESITY	Obesity	IV Endocrine, nutritional and metabolic diseases (E4_)	23971	388084	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_OBESITY.gz
I9_MI_STRICT	Myocardial infarction, strict	IX Diseases of the circulatory system (I9_)	26060	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_MI_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_MI_STRICT.gz
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	IV Endocrine, nutritional and metabolic diseases (E4_)	43197	352232	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_LIPOPROT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_LIPOPROT.gz
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	120446	94450	gs://finngen-public-data-r10/summary_stats/finngen_R10_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_ANTIDEPRESSANTS.gz
E4_GOITREMULTINOD	Nontoxic multinodular goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	6699	349717	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_GOITREMULTINOD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_GOITREMULTINOD.gz
L12_DERMATITISECZEMA	Dermatitis and eczema	XII Diseases of the skin and subcutaneous tissue (L12_)	45135	367046	gs://finngen-public-data-r10/summary_stats/finngen_R10_L12_DERMATITISECZEMA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_L12_DERMATITISECZEMA.gz
M13_HALLUXVALGUS	Hallux valgus (acquired)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	15886	262844	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_HALLUXVALGUS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_HALLUXVALGUS.gz
K11_CHOLECYSTECTOMY	Cholecystectomy	XI Diseases of the digestive system (K11_)	29157	383024	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_CHOLECYSTECTOMY.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_CHOLECYSTECTOMY.gz
E4_HYPERCHOL	Pure hypercholesterolaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	30214	352232	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_HYPERCHOL.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_HYPERCHOL.gz
I9_HYPERTROCARDMYOP	Hypertrophic cardiomyopathy	IX Diseases of the circulatory system (I9_)	1125	411056	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPERTROCARDMYOP.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPERTROCARDMYOP.gz
C3_BREAST_ERPLUS_EXALLC	Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	10404	182678	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_BREAST_ERPLUS_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_BREAST_ERPLUS_EXALLC.gz
PRIM_KNEEARTHROSIS	Primary gonarthrosis, bilateral	Rheuma endpoints	18563	363345	gs://finngen-public-data-r10/summary_stats/finngen_R10_PRIM_KNEEARTHROSIS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_PRIM_KNEEARTHROSIS.gz
H7_CATARACTSENILE	Senile cataract	VII Diseases of the eye and adnexa (H7_)	65235	341546	gs://finngen-public-data-r10/summary_stats/finngen_R10_H7_CATARACTSENILE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_H7_CATARACTSENILE.gz
G6_MYOTDIS	Myotonic disorders	VI Diseases of the nervous system (G6_)	220	408430	gs://finngen-public-data-r10/summary_stats/finngen_R10_G6_MYOTDIS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_G6_MYOTDIS.gz
RX_CROHN_2NDLINE	Second line medication for Crohn's disease	Drug purchase endpoints	23314	388867	gs://finngen-public-data-r10/summary_stats/finngen_R10_RX_CROHN_2NDLINE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_RX_CROHN_2NDLINE.gz
PAIN	Pain (limb, back, neck, head abdominally)	Miscellaneous, not yet classified endpoints	189683	221680	gs://finngen-public-data-r10/summary_stats/finngen_R10_PAIN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_PAIN.gz
M13_ARTHTROSIS_COX_PRIM_HIPSURG	Coxarthrosis, primary, with hip surgery	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	16322	390344	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX_PRIM_HIPSURG.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX_PRIM_HIPSURG.gz
I9_ANGIO	Coronary angioplasty	IX Diseases of the circulatory system (I9_)	15779	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_ANGIO.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_ANGIO.gz
K11_REIMB_202	KELA_REIMBURSEMENT_202	Gastrointestinal endpoints	24410	387771	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_REIMB_202.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_REIMB_202.gz
G6_MUSDYST	Muscular dystrophy	VI Diseases of the nervous system (G6_)	221	408430	gs://finngen-public-data-r10/summary_stats/finngen_R10_G6_MUSDYST.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_G6_MUSDYST.gz
E4_METABOLIA	Metabolic disorders	IV Endocrine, nutritional and metabolic diseases (E4_)	59949	352232	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_METABOLIA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_METABOLIA.gz
RX_CROHN_1STLINE	First line medication for Crohn's disease	Drug purchase endpoints	87509	324672	gs://finngen-public-data-r10/summary_stats/finngen_R10_RX_CROHN_1STLINE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_RX_CROHN_1STLINE.gz
K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	XI Diseases of the digestive system (K11_)	5931	405386	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_UC_STRICT2.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_UC_STRICT2.gz
I9_VEINSOTH	Other disorders of veins	IX Diseases of the circulatory system (I9_)	13925	357111	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_VEINSOTH.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_VEINSOTH.gz
H7_HEREDRETINADYST	Hereditary retinal dystrophy	VII Diseases of the eye and adnexa (H7_)	409	376650	gs://finngen-public-data-r10/summary_stats/finngen_R10_H7_HEREDRETINADYST.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_H7_HEREDRETINADYST.gz
G6_CARPTU	Carpal tunnel syndrome	VI Diseases of the nervous system (G6_)	24766	360538	gs://finngen-public-data-r10/summary_stats/finngen_R10_G6_CARPTU.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_G6_CARPTU.gz
M13_DORSOPATHY	Dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	117411	294770	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_DORSOPATHY.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_DORSOPATHY.gz
K11_ENERCOLNONINF	Noninfective enteritis and colitis	XI Diseases of the digestive system (K11_)	19207	392974	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_ENERCOLNONINF.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_ENERCOLNONINF.gz
I9_HEARTFAIL_AND_ANTIHYPERT	Heart failure and antihypertensive medication	Cardiometabolic endpoints	28161	189620	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_HEARTFAIL_AND_ANTIHYPERT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_HEARTFAIL_AND_ANTIHYPERT.gz
M13_INTERVERTEB	Other intervertebral disc disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	41669	294770	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_INTERVERTEB.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_INTERVERTEB.gz
M13_DUPUTRYEN	Palmar fascial fibromatosis [Dupuytren]	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5542	299606	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_DUPUTRYEN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_DUPUTRYEN.gz
M13_ARTHTROSIS_COX_PRIM_ICD10	Coxarthrosis, primary	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	21837	390344	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX_PRIM_ICD10.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHTROSIS_COX_PRIM_ICD10.gz
HYPOTHY_REIMB	Hypothyroidism, drug reimbursement	IV Endocrine, nutritional and metabolic diseases (E4_)	13429	94436	gs://finngen-public-data-r10/summary_stats/finngen_R10_HYPOTHY_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_HYPOTHY_REIMB.gz
